Seq,inv,post_date,other id,prov,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
1,258077,09/11/2013,2033,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,1218,"","","",945.28,""
2,258077,09/11/2013,2033,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,5018,500,"",MCO,"",945.28
1,258078,09/11/2013,2034,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,1218,"","","",151.92,""
2,258078,09/11/2013,2034,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,5018,500,"",MCO,"",151.92
1,258079,09/11/2013,2002,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,1218,"","","",464.2,""
2,258079,09/11/2013,2002,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,5018,500,"",MCO,"",464.2
1,258080,09/11/2013,2003,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,1218,"","","",945.28,""
2,258080,09/11/2013,2003,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,5018,500,"",MCO,"",945.28
1,258081,09/11/2013,2055,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,1218,"","","",607.68,""
2,258081,09/11/2013,2055,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,5018,500,"",MCO,"",607.68
1,258082,09/11/2013,2004,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,1218,"","","",844.0,""
2,258082,09/11/2013,2004,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,5018,500,"",MCO,"",844.0
1,258083,09/11/2013,2005,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,1218,"","","",675.2,""
2,258083,09/11/2013,2005,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,5018,500,"",MCO,"",675.2
1,258084,09/11/2013,2006,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,1218,"","","",675.2,""
2,258084,09/11/2013,2006,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,5018,500,"",MCO,"",675.2
1,258085,09/11/2013,2136,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,1218,"","","",810.24,""
2,258085,09/11/2013,2136,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,5018,500,"",MCO,"",810.24
1,258086,09/11/2013,2795,HEALTH FIRST,09/11/2013,To Record 09/12/2013 Billing,09/13HFS,09/11/2013,To Rec for W/E 09/06/2013 Billing,500,1218,"","","",1417.92,""
